depth,step_size,truncation,reward
0,0.258874,3,18.820000
1,0.940509,18,9.740000
3,0.030770,28,115.620000
7,0.630869,5,63.300000
1,0.272381,23,115.020000
3,0.299492,23,152.540000
5,0.388651,9,185.860000
0,0.609197,6,15.630000
3,0.107990,10,149.800000
7,0.557590,4,18.490000
5,0.232685,17,108.490000
3,0.961683,1,10.630000
3,0.222179,24,177.880000
5,0.640052,22,59.730000
2,0.959623,1,34.130000
0,0.134401,25,22.540000
0,0.799483,3,11.540000
2,0.983375,18,9.570000
4,0.004351,26,25.790000
3,0.963701,23,163.350000
1,0.034427,11,45.130000
1,0.619996,20,76.440000
3,0.792280,28,152.190000
0,0.266626,10,20.110000
0,0.835979,30,10.760000
5,0.643121,27,183.940000
1,0.492456,17,185.800000
1,0.617810,18,67.670000
4,0.804748,27,150.690000
3,0.829638,18,112.470000
5,0.176383,27,165.610000
7,0.413235,22,64.110000
6,0.676949,18,78.540000
1,0.392763,17,176.670000
3,0.223259,10,95.140000
4,0.377175,30,58.000000
4,0.154024,23,169.400000
2,0.939984,10,40.950000
0,0.470408,27,17.320000
5,0.663129,12,39.830000
1,0.005375,21,26.280000
6,0.222711,7,181.690000
2,0.626785,21,33.350000
1,0.282988,25,183.550000
5,0.502593,18,175.340000
2,0.545997,26,112.570000
3,0.104097,8,112.790000
3,0.372467,18,122.810000
0,0.473258,29,18.230000
5,0.126887,26,145.600000
1,0.408103,15,102.940000
4,0.906569,6,136.870000
0,0.369840,25,21.760000
0,0.482033,1,15.060000
5,0.608861,17,65.500000
1,0.978528,7,43.910000
7,0.379634,5,155.200000
5,0.797707,30,159.490000
7,0.380588,6,133.660000
6,0.568173,19,58.290000
0,0.303469,8,20.780000
6,0.961696,1,17.080000
0,0.464675,19,17.070000
2,0.618373,28,49.700000
6,0.050942,27,164.720000
6,0.338367,9,150.180000
6,0.896970,16,97.760000
6,0.110141,3,42.290000
4,0.774376,3,68.480000
5,0.788279,18,70.530000
0,0.941330,24,9.920000
1,0.537730,27,33.960000
4,0.107953,5,75.630000
1,0.817544,29,12.060000
1,0.837697,29,116.070000
2,0.110889,7,128.760000
0,0.305576,12,20.290000
5,0.542584,12,59.610000
2,0.501601,15,151.120000
3,0.161247,7,139.520000
5,0.114557,22,175.890000
1,0.752727,26,13.310000
0,0.195513,6,22.270000
6,0.992595,7,9.450000
1,0.876924,27,10.880000
7,0.335819,16,136.910000
4,0.099796,15,173.380000
4,0.070091,11,106.190000
3,0.972122,17,92.370000
0,0.802108,14,11.400000
0,0.550033,1,13.440000
0,0.289412,5,19.650000
3,0.894975,13,60.640000
0,0.259026,4,21.290000
3,0.661344,6,33.750000
7,0.303273,25,168.690000
5,0.390503,2,114.710000
1,0.673742,24,26.320000
1,0.264731,11,176.640000
0,0.719800,23,12.500000
6,0.565425,1,17.640000
1,0.940578,10,9.940000
7,0.472285,27,130.600000
6,0.174248,15,172.020000
4,0.166409,17,128.040000
3,0.212266,1,33.620000
3,0.114374,8,139.450000
0,0.578143,13,15.960000
3,0.127049,2,43.110000
5,0.788959,30,38.780000
2,0.057324,15,139.050000
5,0.383416,29,116.510000
7,0.609110,10,43.910000
2,0.348033,30,156.900000
0,0.603752,28,15.670000
6,0.885783,18,157.550000
7,0.073613,12,113.020000
5,0.423293,26,62.630000
3,0.643647,20,25.370000
5,0.452779,26,149.140000
6,0.521276,14,83.170000
4,0.307822,7,64.760000
0,0.102611,25,19.920000
2,0.563510,18,123.380000
4,0.630256,10,154.950000
6,0.522325,8,23.060000
5,0.882105,20,196.930000
4,0.580911,18,58.430000
1,0.351401,29,78.550000
7,0.832673,30,136.730000
4,0.682861,25,45.870000
0,0.214008,29,22.490000
